species_id,binary_attr_1,numeric_attr_1,binary_attr_0,numeric_attr_0,numeric_attr_3,numeric_attr_2
0,0.0,0.206,0.0,0.02,0.033,0.106
1,1.0,0.548,1.0,0.555,0.576,0.505
2,0.0,0.237,0.0,0.243,0.226,0.136
3,1.0,0.453,1.0,0.503,0.544,0.555
4,1.0,0.845,1.0,0.859,0.855,0.842
5,1.0,0.777,1.0,0.701,0.796,0.721
6,0.0,0.393,0.0,0.398,0.449,0.449
7,1.0,0.664,1.0,0.563,0.602,0.546
8,0.0,0.376,0.0,0.353,0.404,0.44
9,1.0,0.845,1.0,0.745,0.759,0.858
10,0.0,0.075,0.0,0.081,0.078,0.128
11,0.0,0.201,0.0,0.169,0.13,0.05
12,0.0,0.0,0.0,0.058,0.09,0.0
13,0.0,0.0,0.0,0.157,0.106,0.164
14,1.0,0.565,1.0,0.524,0.545,0.542
15,0.0,0.003,0.0,0.0,0.0,0.017
16,1.0,1.0,1.0,1.0,1.0,1.0
17,0.0,0.266,0.0,0.305,0.2,0.317
18,0.0,0.002,0.0,0.045,0.0,0.013
19,1.0,0.503,0.0,0.536,0.437,0.604
