species_id,binary_attr_1,numeric_attr_1,binary_attr_0,numeric_attr_0,numeric_attr_3,numeric_attr_2
0,0.0,0.0,0.0,0.376,0.775,0.468
1,1.0,0.02,0.0,0.254,0.533,0.215
2,0.0,0.952,0.0,0.631,0.39,0.204
3,1.0,0.766,0.0,0.592,0.902,0.356
4,0.0,0.002,1.0,0.576,0.334,0.956
5,0.0,0.983,0.0,0.939,0.188,0.0
6,0.0,0.452,0.0,0.329,0.198,0.078
7,0.0,0.07,1.0,0.0,0.005,0.98
8,1.0,0.635,1.0,0.94,0.162,0.577
9,0.0,0.198,1.0,1.0,0.796,0.925
10,1.0,0.379,1.0,0.331,0.003,0.272
11,0.0,0.643,1.0,0.008,0.361,0.005
12,1.0,0.825,0.0,0.261,1.0,1.0
13,0.0,0.281,1.0,0.41,0.246,0.436
14,1.0,1.0,1.0,0.386,0.878,0.228
15,0.0,0.671,0.0,0.557,0.158,0.99
16,1.0,0.144,1.0,0.311,0.0,0.188
17,1.0,0.875,1.0,0.49,0.274,0.42
18,0.0,0.152,0.0,0.368,0.093,0.37
19,0.0,0.36,1.0,0.943,0.199,0.939
